회사명,거래소코드
(주)구스앤홈,329050
(주)국전약품,307750
(주)나인테크,267320
(주)네온테크,306620
(주)누보,332290
(주)다보링크,340360
(주)더블유에스아이,299170
(주)덴티스,261200
(주)레이크머티리얼즈,281740
(주)미애부,225850
(주)비올,335890
(주)비투엔,307870
(주)세림비앤지,340440
(주)아이비김영,339950
(주)애니플러스,310200
(주)엔피,291230
(주)엠앤씨생명과학,225860
(주)오하임아이엔티,309930
(주)와이즈버즈,273060
(주)원바이오젠,307280
(주)웨이버스,336060
(주)인터코스,240340
(주)일승,333430
(주)전우정밀,120780
(주)제이시스메디칼,287410
(주)카이노스메드,284620
(주)코퍼스코리아,322780
(주)태성,323280
(주)티에스트릴리온,317240
(주)티티씨디펜스,309900
(주)포커스에이치엔에스,331380
(주)프로이천,321260
디와이씨(주),310870
엠에프엠코리아(주),323230
원텍(주),336570
윈텍(주),320000
이에스산업(주),241510
지엔원에너지(주),270520
케어룸의료산업(주),327970
현대무벡스(주),319400
글로벌에스엠테크리미티드,900070
로스웰인터내셔널유한회사,900260
애머릿지코퍼레이션,900100
에스앤씨엔진그룹리미티드,900080
오가닉티코스메틱스홀딩스컴퍼니리미티드,900300
윙입푸드홀딩스,900340
이스트아시아홀딩스인베스트먼트리미티드,900110
차이나크리스탈신소재홀딩스,900250
컬러레이홀딩스,900310
케이만금세기차륜집단유한공사,900280
헝셩그룹유한회사,900270
엑세스바이오인코퍼레이션,950130
잉글우드랩,950140
큐리언트,115180
에스에이티,158300
